benchmark,output
"119_Improper_Restriction_of_Operations_within_the_Bounds_of_a_Memory_Buffer.wasm","In-address space security exception (core dumped)"
"120_Buffer_Copy_without_Checking_Size_of_Input_Classic_Buffer_Overflow.wasm","In-address space security exception (core dumped)"
"121_Stack_based_Buffer_Overflow.wasm","In-address space security exception (core dumped)"
"122_Heap_based_Buffer_Overflow.wasm","In-address space security exception (core dumped)"
"123_Write_what_where_Condition.wasm","In-address space security exception (core dumped)"
"124_Buffer_Underwrite_Buffer_Underflow.wasm","In-address space security exception (core dumped)"
"125_Out_of_bounds_Read.wasm","In-address space security exception (core dumped)"
"126_Buffer_Over_read.wasm","In-address space security exception (core dumped)"
"127_Buffer_Under_read.wasm","In-address space security exception (core dumped)"
"129_Improper_Validation_of_Array_Index.wasm","In-address space security exception (core dumped)"
"131_Incorrect_Calculation_of_Buffer_Size.wasm","In-address space security exception (core dumped)"
"134_Use_of_Externally_Controlled_Format_String.wasm","In-address space security exception (core dumped)"
"188_Reliance_on_Data_Memory_Layout.wasm","In-address space security exception (core dumped)"
"198_Use_of_Incorrect_Byte_Ordering.wasm","In-address space security exception (core dumped)"
"244_Improper_Clearing_of_Heap_Memory_Before_Release_Heap_Inspection.wasm","In-address space security exception (core dumped)"
"401_Missing_Release_of_Memory_after_Effective_Lifetime.wasm","In-address space security exception (core dumped)"
"415_Double_Free.wasm","In-address space security exception (core dumped)"
"416_Use_After_Free.wasm","In-address space security exception (core dumped)"
"466_Return_of_Pointer_Value_Outside_of_Expected_Range.wasm","In-address space security exception (core dumped)"
"562_Return_of_Stack_Variable_Address.wasm","In-address space security exception (core dumped)"
"587_Assignment_of_a_Fixed_Address_to_a_Pointer.wasm","In-address space security exception (core dumped)"
"590_Free_of_Memory_not_on_the_Heap.wasm","In-address space security exception (core dumped)"
"680_Integer_Overflow_to_Buffer_Overflow.wasm","In-address space security exception (core dumped)"
"690_Unchecked_Return_Value_to_NULL_Pointer_Dereference.wasm","In-address space security exception (core dumped)"
"761_Free_of_Pointer_not_at_Start_of_Buffer.wasm","In-address space security exception (core dumped)"
"762_Mismatched_Memory_Management_Routines.wasm","In-address space security exception (core dumped)"
"763_Release_of_Invalid_Pointer_or_Reference.wasm","In-address space security exception (core dumped)"
"786_Access_of_Memory_Location_Before_Start_of_Buffer.wasm","In-address space security exception (core dumped)"
"787_Out_of_bounds_Write.wasm","In-address space security exception (core dumped)"
"788_Access_of_Memory_Location_After_End_of_Buffer.wasm","In-address space security exception (core dumped)"
"789_Memory_Allocation_with_Excessive_Size_Value.wasm","In-address space security exception (core dumped)"
"805_Buffer_Access_with_Incorrect_Length_Value.wasm","In-address space security exception (core dumped)"
"806_Buffer_Access_Using_Size_of_Source_Buffer.wasm","In-address space security exception (core dumped)"
"822_Untrusted_Pointer_Dereference.wasm","In-address space security exception (core dumped)"
"823_Use_of_Out_of_range_Pointer_Offset.wasm","In-address space security exception (core dumped)"
"824_Access_of_Uninitialized_Pointer.wasm","In-address space security exception (core dumped)"
"825_Expired_Pointer_Dereference.wasm","In-address space security exception (core dumped)"
